state,session,chamber,bill_id,title,created_at,updated_at,type,subjects,serialid,serial_464208c8_41a1_4999_a4ad_858be4add44b
ny,2011-2012,lower,A 102,Provides that the director of the office of professional medical conduct shall meet with complainants to review materials to be considered in charges of misconduct,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,227,226
ny,2011-2012,lower,A 10213,Clarifies eligibility requirements for admission to the New York state veterans' home,2012-05-31T00:00:00,2012-10-16T00:00:00,bill,Health,243,242
ny,2011-2012,lower,A 10231,Relates to peace officer powers of safety officers,2012-05-30T00:00:00,2012-10-16T00:00:00,bill,Health|Legal Issues,264,263
ny,2011-2012,lower,A 10254,Provides for the development of an environmental health tracking system within the department of health with cooperation from certain other agencies,2012-05-22T00:00:00,2012-10-16T00:00:00,bill,Health,289,288
ny,2011-2012,lower,A 10274,Authorizes adult day care programs to provide certain services at the site of a voluntary residential health care facility rightsizing demonstration program,2012-05-24T00:00:00,2012-10-16T00:00:00,bill,Health,311,310
ny,2011-2012,lower,A 10277,Authorizes expedited partner therapy for chlamydia trachomatis and other sexually transmitted infections and makes such provisions permanent,2012-05-24T00:00:00,2012-10-16T00:00:00,bill,Health,314,313
ny,2011-2012,lower,A 10287,Relates to reports of sexually transmitted diseases,2012-10-16T00:00:00,2012-10-16T00:00:00,bill,Health,326,325
ny,2011-2012,lower,A 10296,Prohibits sale of synthetic marijuana and provides defense for sale in certain circumstances,2012-10-16T00:00:00,2012-10-16T00:00:00,bill,Health,336,335
ny,2011-2012,lower,A 10302,Relates to the continuation of a municipal advanced life support first responder service or municipal ambulance service,2012-10-16T00:00:00,2012-10-16T00:00:00,bill,Health,344,343
ny,2011-2012,lower,A 10307,Prohibits smoking on the grounds of general hospitals and residential health care facilities,2012-10-16T00:00:00,2012-10-16T00:00:00,bill,Health,349,348
ny,2011-2012,lower,A 10339,Establishes the nurse loan repayment program,2012-06-18T00:00:00,2012-10-16T00:00:00,bill,Health,385,384
ny,2011-2012,lower,A 5366,Relates to payments to rural critical access hospitals,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,405,404
ny,2011-2012,lower,A 10372,Relates to reimbursement for aerial spraying for mosquitoes on state land,2012-06-01T00:00:00,2012-10-16T00:00:00,bill,Health,423,422
ny,2011-2012,lower,A 10373,Relates to information and counseling on appropriate treatment options,2012-06-01T00:00:00,2012-10-16T00:00:00,bill,Health,424,423
ny,2011-2012,lower,A 10374,Requires local health departments notify volunteer fire companies upon detecting radiation,2012-07-28T00:00:00,2012-10-16T00:00:00,bill,Health,425,424
ny,2011-2012,lower,A 10378,Requires hospitals to provide language assistance services,2012-08-28T00:00:00,2012-10-16T00:00:00,bill,Health,429,428
ny,2011-2012,lower,A 10398,Relates to the concentration of fluoride additives in water,2012-10-16T00:00:00,2012-10-16T00:00:00,bill,Health,452,451
ny,2011-2012,lower,A 10406,Establishes diabetes prevention demonstration programs,2012-09-25T00:00:00,2012-10-16T00:00:00,bill,Health,462,461
ny,2011-2012,lower,A 10416,Enacts the uniform guardianship and protective proceedings jurisdiction act,2012-09-25T00:00:00,2012-10-16T00:00:00,bill,Health|Legal Issues,473,472
ny,2011-2012,lower,A 10425,Relates to the administration of medication in residential health care facilities by medication aides,2012-09-14T00:00:00,2012-10-16T00:00:00,bill,Health,483,482
ny,2011-2012,lower,A 10426,Directs the department of health to assign at least 1 narcotics investigator to each county in N.Y. city,2012-09-14T00:00:00,2012-10-16T00:00:00,bill,Health,484,483
ny,2011-2012,lower,A 10448,Designates additional substances as schedule I hallucinogenic or stimulant controlled substances,2012-06-16T00:00:00,2012-10-16T00:00:00,bill,Health,508,507
ny,2011-2012,lower,A 10449,"Includes within the schedules of controlled substances, any substances designated as controlled substances pursuant to the federal Analog Act",2012-06-16T00:00:00,2012-10-16T00:00:00,bill,Health,509,508
ny,2011-2012,lower,A 10453,Directs local government units providing services to individuals with mental illness or developmental disabilities to create a single point of access system,2012-06-16T00:00:00,2012-10-16T00:00:00,bill,Health|Legal Issues,514,513
ny,2011-2012,lower,A 10479,Relates to payments under managed long term care plans for home care services,2012-06-11T00:00:00,2012-10-16T00:00:00,bill,Health,543,542
ny,2011-2012,lower,A 10486,Prohibits the appointment of a health care agent or surrogate who is the subject of an order of protection protecting the principal,2012-06-11T00:00:00,2012-10-16T00:00:00,bill,Health,551,550
ny,2011-2012,lower,A 10498,"Requires owners of multiple dwelling properties to develop, implement and distribute smoking policies",2012-06-06T00:00:00,2012-10-16T00:00:00,bill,Health,564,563
ny,2011-2012,lower,A 10504,Requires that a center for palliative care be established in every borough of New York city,2012-06-06T00:00:00,2012-10-16T00:00:00,bill,Health,572,571
ny,2011-2012,lower,A 10517,Provides that medicaid reimbursement for services to medically fragile children by pediatric rehabilitation diagnostic and treatment centers be fee-for-service,2012-06-01T00:00:00,2012-10-16T00:00:00,bill,Health,585,584
ny,2011-2012,lower,A 10518,Regulates the provision of observation services by general hospitals,2012-06-01T00:00:00,2012-10-16T00:00:00,bill,Health,586,585
ny,2011-2012,lower,A 5366A,Relates to payments to rural critical access hospitals,2011-06-02T00:00:00,2012-05-18T00:00:00,bill,Health,615,614
ny,2011-2012,lower,A 10595,Requiring hospitals to offer hepatitis C testing,2012-10-16T00:00:00,2012-10-16T00:00:00,bill,Health,671,670
ny,2011-2012,lower,A 10606,Makes technical corrections to provisions relating to the review of eligible federally qualified health center capital projects,2012-10-16T00:00:00,2012-10-16T00:00:00,bill,Health,684,683
ny,2011-2012,lower,A 1062,Requires the commissioner of health to establish means of educating proprietors and employees of public eating establishments about food allergens,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,700,699
ny,2011-2012,lower,A 10623,Relates to prescription drug reform; repealer,2012-07-12T00:00:00,2012-10-16T00:00:00,bill,Health,704,703
ny,2011-2012,lower,A 10636,Relates to patients interred at state mental health hospital cemeteries,2012-09-22T00:00:00,2012-10-16T00:00:00,bill,Health|Legal Issues,718,717
ny,2011-2012,lower,A 1064,Prohibits mass transit facilities in N.Y. city advertising the sale or use of tobacco products or alcohol,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,722,721
ny,2011-2012,lower,A 10649,Relates to the provision of care and services to persons with developmental or physical disabilities,2012-09-15T00:00:00,2012-10-16T00:00:00,bill,Health|Legal Issues,732,731
ny,2011-2012,lower,A 1065,Relates to full and good faith participation in peer review activities,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,733,732
ny,2011-2012,lower,A 10674,Requires the commissioner of developmental disabilities to define a career path for direct support professionals,2012-09-13T00:00:00,2012-10-16T00:00:00,bill,Health|Legal Issues,760,759
ny,2011-2012,lower,A 10675,Enacts the skills for direct support professional jobs for the developmentally disabled act,2012-09-13T00:00:00,2012-10-16T00:00:00,bill,Health|Legal Issues,761,760
ny,2011-2012,lower,A 10678,Enacts the health care consumer and provider protection act relating to collective negotiations by health care providers with certain health care plans,2012-09-13T00:00:00,2012-10-16T00:00:00,bill,Health,764,763
ny,2011-2012,lower,A 1069,Relates to subcommittees for mental health of community service boards; the effective date,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,777,776
ny,2011-2012,lower,A 1070,Creates mental illness and chemical dependence initiative,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health|Legal Issues,789,788
ny,2011-2012,lower,A 10701,Relates to reimbursement for hip and knee replacement cases at certain hospitals,2012-10-16T00:00:00,2012-10-16T00:00:00,bill,Health,791,790
ny,2011-2012,lower,A 1070A,Creates mental illness and chemical dependence initiative,2012-05-09T00:00:00,2012-05-09T00:00:00,bill,Health|Legal Issues,800,799
ny,2011-2012,lower,A 1071,Relates to the review of criminal history information of certain persons rendering community based services to individuals with mental illness or mental retardation,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health|Legal Issues,801,800
ny,2011-2012,lower,A 10715,"Enacts the ""safe patient handling act""",2012-07-28T00:00:00,2012-10-16T00:00:00,bill,Health,807,806
ny,2011-2012,lower,A 10716,Designates certain stimulants to the schedule of controlled substances,2012-07-28T00:00:00,2012-10-16T00:00:00,bill,Health,808,807
ny,2011-2012,lower,A 1072,Relates to the community mental health support and workforce reinvestment program and the community health and workforce reinvestment account; effectiveness,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,812,811
ny,2011-2012,lower,A 1074,Provides that a tanning facility shall not permit the use of an ultraviolet radiation device by persons sixteen years of age and under,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,835,834
ny,2011-2012,lower,A 10741,Directs the commissioner of health to establish an opioid treatment and hospital diversion demonstration program,2012-09-25T00:00:00,2012-10-16T00:00:00,bill,Health,837,836
ny,2011-2012,lower,A 10745,Provides that the initial prescription or dispensing of a controlled substance for acute pain shall be limited to a 3 - 10 day supply,2012-09-25T00:00:00,2012-10-16T00:00:00,bill,Health,841,840
ny,2011-2012,lower,A 10756,Directs the department of health to establish and maintain an internet website to advance women's health initiatives,2012-10-16T00:00:00,2012-10-16T00:00:00,bill,Health,853,852
ny,2011-2012,lower,A 10765,Directs the commissioner of health to establish demonstration projects providing for equity investment in the operation of residential health care facilities,2012-10-16T00:00:00,2012-10-16T00:00:00,bill,Health,863,862
ny,2011-2012,lower,A 1078,Requires development of educational materials for screening alcoholism and chemical dependency in women to health care providers,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,879,878
ny,2011-2012,lower,A 10803,Establishes a substituted cathinone surrender program and designates substituted cathinones as schedule I stimulant controlled substances; repealer,2012-08-24T00:00:00,2012-10-16T00:00:00,bill,Health,906,905
ny,2011-2012,lower,A 10813,Enacts Aidan's law to require adrenoleukodystrophy screening of newborns,2012-09-14T00:00:00,2012-10-16T00:00:00,bill,Health,918,917
ny,2011-2012,lower,A 1556A,Relates to mandatory reporting of allegations of physical or sexual abuse of a child or adult with mental or physical disabilities or death occurring in an unexplained manner,2011-05-05T00:00:00,2012-03-06T00:00:00,bill,Health|Legal Issues,1533,1532
ny,2011-2012,lower,A 1589,Relates to penalties for the illegal shipment of cigarettes,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,1572,1571
ny,2011-2012,lower,A 1601,Provides for annual school lead-copper tap water testing; publishing of reports of contamination and abatement of such contamination,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,1587,1586
ny,2011-2012,lower,A 1603A,Authorizes nurse practitioners to admit mentally ill patients,2012-03-07T00:00:00,2012-05-03T00:00:00,bill,Health|Legal Issues,1591,1590
ny,2011-2012,lower,A 1177A,Relates to increasing the availability of adult day health care programs in certain counties,2012-01-19T00:00:00,2012-04-21T00:00:00,bill,Health,1041,1040
ny,2011-2012,lower,A 1635,Authorizes health care professionals licensed in other jurisdictions and appointed by World Triathlon Corporation to practice in this state at a triathlon,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,1627,1626
ny,2011-2012,lower,A 1224,Provides access to redacted copies of death certificates,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,1096,1095
ny,2011-2012,lower,A 1246A,Establishes a central registry of medical personnel terminated for cause,2012-01-20T00:00:00,2012-05-03T00:00:00,bill,Health,1126,1125
ny,2011-2012,lower,A 126,Provides a mental hygiene legal service to certain patients or residents of residential healthcare facilities,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health|Legal Issues,1142,1141
ny,2011-2012,lower,A 1724,Relates to notification of rate increases to residents of assisted living residences,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,1736,1735
ny,2011-2012,lower,A 5366B,Relates to payments to rural critical access hospitals,2011-06-21T00:00:00,2012-05-18T00:00:00,bill,Health,1757,1756
ny,2011-2012,lower,A 1748,Creates a state-wide database of all donations of tissue or non-transplant organs procured by an organ procurement organization or a procurement organization,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,1768,1767
ny,2011-2012,lower,A 1311,Directs commissioner of health to establish a uniform letter grading system to classify the result of an inspection of a public food service establishment,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,1210,1209
ny,2011-2012,lower,A 1771,"Requires epinephrine auto-injector devices at children's overnight, summer day and traveling summer camps",2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,1798,1797
ny,2011-2012,lower,A 1786,Prohibits the use of live human subjects as surgical subjects as part of state dental professional licensing examination,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,1817,1816
ny,2011-2012,lower,A 1370A,"Enacts the ""safe patient handling act""",2011-05-05T00:00:00,2012-05-18T00:00:00,bill,Health,1284,1283
ny,2011-2012,lower,A 1834,"Provides for the allocation of monies for dental health services in the medicaid managed care program, the child health insurance program and the family health plus program",2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,1875,1874
ny,2011-2012,lower,A 184,Prohibits smoking within fifty feet of all entrances to state office buildings and restricts smoking outside buildings with indoor smoking restrictions,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,1881,1880
ny,2011-2012,lower,A 1841,Relates to the right of tenant association to have the first option to purchase a housing unit,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,1883,1882
ny,2011-2012,lower,A 1857,Regulates the rate for dental services in medicaid managed care,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,1905,1904
ny,2011-2012,lower,A 141,Requires a representative of veteran and alcoholism or substance abuse programs to the advisory council on alcoholism and substance abuse services,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health|Legal Issues,1343,1342
ny,2011-2012,lower,A 1884,Authorizes the commissioner of health to establish a public outreach campaign regarding spina bifida prevention and awareness,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,1939,1938
ny,2011-2012,lower,A 1886,Relates to oversight of substance abuse services in state prisons by the commissioner of alcoholism and substance abuse services,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health|Legal Issues,1941,1940
ny,2011-2012,lower,A 141B,Requires a representative of veteran and alcoholism or substance abuse programs to the advisory council on alcoholism and substance abuse services,2011-06-08T00:00:00,2012-03-20T00:00:00,bill,Health|Legal Issues,1363,1362
ny,2011-2012,lower,A 1424,Authorizes the state to acquire from the federal government the Montrose VA,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,1369,1368
ny,2011-2012,lower,A 190,Relates to personal care trend language incorporated into chapter 53 of the laws of 1990,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,1959,1958
ny,2011-2012,lower,A 1901,Relates to the shipment of cigarettes,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,1961,1960
ny,2011-2012,lower,A 1469,"Provides all blind and visually impaired patients with an audio recording of the discharge plan and preadmission information, where provided",2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,1427,1426
ny,2011-2012,lower,A 1481,"Authorizes a certified psychologist or a certified nurse practitioner, in addition to other authorized individuals, to make a recommendation of the type of residence",2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health|Legal Issues,1443,1442
ny,2011-2012,lower,A 1984A,Requires health warnings on ultraviolet nail dryers,2011-05-05T00:00:00,2012-04-20T00:00:00,bill,Health,2064,2063
ny,2011-2012,lower,A 3478,Relates to the training of boards of directors or trustees of certain voluntary not-for-profit facilities or corporations,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health|Legal Issues,3966,3965
ny,2011-2012,lower,A 3953,"Requires every hospital engaging in construction, addition or remodeling to submit certain plans and specifications for such building",2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,4574,4573
ny,2011-2012,lower,A 3954,Requires reporting of cases of pesticide poisoning by licensed or certified health care practitioners acting within the lawful scope of their practice,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,4575,4574
ny,2011-2012,lower,A 3958,Establishes an Alzheimer's disease outreach and education program,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,4579,4578
ny,2011-2012,lower,A 3963,Establishes standards and programs relating to the prevention and/or reduction of the incidence of hospital-acquired infections,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,4587,4586
ny,2011-2012,lower,A 3964,Makes possession and sale of embalming fluid a misdemeanor,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,4589,4588
ny,2011-2012,lower,A 3621,Relates to the abatement of lead poisoning conditions,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,4148,4147
ny,2011-2012,lower,A 3637A,Relates to medical home multipayor programs,2011-05-05T00:00:00,2012-05-09T00:00:00,bill,Health,4167,4166
ny,2011-2012,lower,A 3643,Relates to exempting commuter colleges from the requirement of maintaining meningococcal meningitis records,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,4177,4176
ny,2011-2012,lower,A 4042,Authorizes the attorney general to enforce the provisions of the public health law and its rules and regulations in the name of the people of the state,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,4723,4722
ny,2011-2012,lower,A 4050,Makes provisions for farm worker protections from pesticides,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,4733,4732
ny,2011-2012,lower,A 4051,"Enacts the ""public university emergency contraception act"" to require, upon request, provision of emergency contraception to students of state and city universities",2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,4734,4733
ny,2011-2012,lower,A 3662,Directs the commissioner of health to promulgate rules and regulations for the labeling of prescription drugs in other than English,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,4201,4200
ny,2011-2012,lower,A 3683A,Provides for the exclusion of certain costs associated with home health care and the formula for calculating state reimbursements to such programs,2011-05-18T00:00:00,2012-05-20T00:00:00,bill,Health,4226,4225
ny,2011-2012,lower,A 4101,Relates to the reimbursement of out-of-network providers of clinical laboratory services,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,4797,4796
ny,2011-2012,lower,A 411,Establishes the task force on adults with autism within the office of mental retardation and developmental disabilities,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health|Legal Issues,4806,4805
ny,2011-2012,lower,A 4114,Regulates body piercing and tattooing of persons under the age of 18,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,4811,4810
ny,2011-2012,lower,A 4114A,Regulates body piercing and tattooing of persons under the age of 18,2011-06-10T00:00:00,2012-04-21T00:00:00,bill,Health,4812,4811
ny,2011-2012,lower,A 411B,Establishes the task force on adults with autism within the office of mental retardation and developmental disabilities,2012-01-19T00:00:00,2012-05-10T00:00:00,bill,Health|Legal Issues,4819,4818
ny,2011-2012,lower,A 3720,"Enacts the ""minority mental health act"" to establish the division of minority mental health within the office of mental health",2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health|Legal Issues,4271,4270
ny,2011-2012,lower,A 413,Develops comprehensive care centers for autism spectrum disorders,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,4831,4830
ny,2011-2012,lower,A 4142,Creates adult day services respite demonstration programs,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,4846,4845
ny,2011-2012,lower,A 4150,Provides that residential health care facilities may return and redistribute unused medication,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,4857,4856
ny,2011-2012,lower,A 3763,Requires hospitals to provide notice to employees and patients of environmental health and safety hazards,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,4327,4326
ny,2011-2012,lower,A 3793A,Relates to establishing the New York state telehealth/telemedicine act,2012-05-17T00:00:00,2012-05-17T00:00:00,bill,Health,4365,4364
ny,2011-2012,lower,A 3795,Requires certain food establishments to provide nutritional information to its customers,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,4368,4367
ny,2011-2012,lower,A 3795A,Requires certain food establishments to provide nutritional information to its customers,2012-01-07T00:00:00,2012-05-17T00:00:00,bill,Health,4369,4368
ny,2011-2012,lower,A 38,Provides for the expungement of unsustained allegations of abuse and the sealing of records; repealer,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,4379,4378
ny,2011-2012,lower,A 3802,Relates to the reimbursement of out-of-network providers of clinical laboratory services,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,4383,4382
ny,2011-2012,lower,A 422,"Provides that demonstration rates of payment for telehealth services by home health agencies, long term home health care and AIDS home care shall be paid equitably",2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,4946,4945
ny,2011-2012,lower,A 3806,Relates to providing pharmacists access to New York's prescription drug monitoring program resources,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,4387,4386
ny,2011-2012,lower,A 3806B,Relates to providing pharmacists access to New York's prescription drug monitoring program resources,2011-06-15T00:00:00,2012-03-20T00:00:00,bill,Health,4389,4388
ny,2011-2012,lower,A 3815,"Requires the department of health to monitor the lead levels in candy, soft vinyl lunch boxes and bibs",2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,4399,4398
ny,2011-2012,lower,A 3825,Relates to payments from the department of health New York city veterans home income fund,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,4411,4410
ny,2011-2012,lower,A 3862,Provides for the mapping of breast cancer in the state,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,4458,4457
ny,2011-2012,lower,A 3864,Provides for services for Alzheimer's disease and related dementias,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,4460,4459
ny,2011-2012,lower,A 3868,Provides for medicaid reimbursement for outpatient hyperbaric therapy for treatments provided since 1996 by hospitals outside New York city in certain counties,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,4464,4463
ny,2011-2012,lower,A 3881,"Requires heating, ventilation and air conditioning systems and potable water systems of building with 50 or more people to be secured from unauthorized access",2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,4479,4478
ny,2011-2012,lower,A 3883,Relates to the disclosure of special care offered to persons with Alzheimer's disease or dementia,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,4482,4481
ny,2011-2012,lower,A 4342,"Prohibits pharmacy benefits managers, HMOs, Insurers & health plans from offering incentives to health care providers to switch from one prescription drug to another",2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,5106,5105
ny,2011-2012,lower,A 4342A,"Prohibits pharmacy benefits managers, HMOs, Insurers & health plans from offering incentives to health care providers to switch from one prescription drug to another",2012-05-02T00:00:00,2012-05-09T00:00:00,bill,Health,5107,5106
ny,2011-2012,lower,A 4346,Provides that money damages shall not be considered in determining whether or not there exists an inability to pay for department of mental hygiene services,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health|Legal Issues,5111,5110
ny,2011-2012,lower,A 4346A,Provides that money damages shall not be considered in determining whether or not there exists an inability to pay for department of mental hygiene services,2011-05-05T00:00:00,2012-05-09T00:00:00,bill,Health|Legal Issues,5112,5111
ny,2011-2012,lower,A 4351,Prohibits the use of power leaf and lawn blowers except during certain specified hours,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,5118,5117
ny,2011-2012,lower,A 4352,Establishes integrated pest management requirements for hospitals,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,5119,5118
ny,2011-2012,lower,A 4353,Requires the office of mental health to hold public hearings prior to opening any sexually violent predator facilities,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health|Legal Issues,5120,5119
ny,2011-2012,lower,A 4380,Relates to establishing a universal child health passport,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health|Legal Issues,5159,5158
ny,2011-2012,lower,A 4389,Increases the wages for nurses and physician's assistants that are bilingual,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,5168,5167
ny,2011-2012,lower,A 4403,Provides for corporate franchise and personal income tax check-offs for taxpayer gifts for colon cancer education; sets up colon cancer education fund,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,5187,5186
ny,2011-2012,lower,A 4418,Establishes a quality workers care task force,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health|Legal Issues,5206,5205
ny,2011-2012,lower,A 4424,Directs the commissioner of health to report on the very high incidence of asthma in the state,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,5213,5212
ny,2011-2012,lower,A 4431,Establishes a pre-marital course and a marital and family preservation program and imposes requirements to take the course and program,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,5221,5220
ny,2011-2012,lower,A 4444,Establishes a rewards program for individuals who provide relevant information to the office of the Medicaid inspector general that leads to the detection and conviction of medicaid fraud,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,5237,5236
ny,2011-2012,lower,A 4471,Extends the effectiveness of a portable x-ray demonstration program for medicaid recipients,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,5269,5268
ny,2011-2012,lower,A 4496,"Enacts the ""behavioral health and long-term care act""",2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,5299,5298
ny,2011-2012,lower,A 4534,Directs the department of health to evaluate and report on Medicaid prescription drug reimbursement to retail pharmacies,2011-05-05T00:00:00,2012-10-16T00:00:00,bill,Health,5349,5348
